date,Product A,Product B,Product C,Product D,Product E,Product F,daily_sum,CRM,Direct,Facebook,Google Ads,Organic search,Referral
2020-08-29,4579,2011,477,25252,956,144,33419,2420,337,2123,21985,4938,389
2020-08-30,4641,2079,518,29303,1251,206,37998,2611,376,2812,24524,5878,505
2020-08-31,5406,3634,667,38647,1418,253,50025,3282,500,2921,33484,7915,580
2020-09-01,6870,3408,704,54062,1100,317,66461,20859,501,2547,32932,7588,614
2020-09-02,6794,3168,464,42531,953,296,54206,11520,550,3065,30143,6998,616
2020-09-03,9806,3051,412,38237,878,264,52648,12100,456,2949,28274,6699,543
2020-09-04,6201,3006,389,38416,907,228,49147,9354,419,2672,28381,6454,475
2020-09-05,4608,2180,317,28926,756,183,36970,2835,321,2558,24431,5130,448
2020-09-06,4399,2254,386,30294,908,170,38411,2580,380,2212,25585,6064,410
2020-09-07,6293,3405,510,49362,1182,226,60978,12649,539,1403,35554,9138,567
2020-09-08,5842,3070,431,46112,965,255,56675,11735,485,1603,33997,7104,556
2020-09-09,9241,3323,385,38814,979,237,52979,10802,435,3097,30126,6755,601
2020-09-10,6516,3096,372,39964,969,198,51115,8509,452,2632,30372,6318,616
2020-09-11,5336,3110,473,42193,948,190,52250,6706,428,2865,29879,6162,474
2020-09-12,4227,1943,329,31205,786,176,38666,3862,354,2492,24565,4671,366
2020-09-13,4330,2152,388,55057,970,227,63124,3325,461,3365,28628,5439,418
2020-09-14,5507,3424,502,54601,1199,249,65482,7886,571,3556,38297,7801,486
2020-09-15,5364,3274,563,57666,1065,238,68170,15566,589,3886,36351,7513,433
2020-09-16,5882,3264,485,60632,1041,247,71551,13407,566,3445,36607,6891,463
2020-09-17,9626,2959,529,51352,931,218,65615,16013,442,2625,35585,6872,415
2020-09-18,5517,2538,360,39717,954,166,49252,6044,407,2425,30620,5963,355
2020-09-19,4020,1941,373,28572,822,149,35877,2086,349,2334,23162,4573,291
2020-09-20,4953,1932,343,41631,908,148,49915,5452,399,2779,24738,4924,364
2020-09-21,8164,3175,520,54079,1089,229,67256,11159,505,3470,37217,7303,485
2020-09-22,8193,2975,514,54738,1077,215,67712,14973,478,3557,37437,7142,496
2020-09-23,10195,3168,495,49539,1058,284,64739,14795,512,3661,35235,6967,421
2020-09-24,6530,5868,597,52312,1095,233,66635,10488,496,3051,35473,8695,477
2020-09-25,5227,5335,464,38479,961,189,50655,4403,428,2610,31950,7165,928
2020-09-26,5050,3184,336,27258,798,151,36777,2958,308,2609,22978,4847,1986
2020-09-27,4717,2614,422,37131,950,123,45957,2982,453,3191,24489,5152,638
2020-09-28,6782,4356,508,46688,1080,237,59651,9046,528,3002,31787,6946,718
2020-09-29,6553,4307,475,41177,1052,219,53783,10610,425,2954,30163,6623,850
2020-09-30,7091,5895,381,38359,1074,202,53002,7800,785,2961,31048,7061,431
2020-10-01,9624,4754,386,43781,1031,187,59763,10691,445,3607,34662,6721,441
2020-10-02,6592,3765,377,40681,994,199,52608,6582,394,3383,32904,5952,405
2020-10-03,5363,2625,329,31078,928,174,40497,3698,349,2679,25240,4598,419
2020-10-04,5794,2825,479,35867,1133,174,46272,4034,344,3695,28254,5216,430
2020-10-05,6790,4608,449,48742,1260,206,62055,10755,456,3351,36453,7289,509
2020-10-06,7079,3874,449,50137,1260,229,63028,14841,466,2862,34850,6975,533
2020-10-07,7203,3861,423,49311,1186,260,62244,8105,426,2822,36446,6757,524
2020-10-08,11023,4157,381,47480,1181,212,64434,15117,468,2746,36009,7055,448
2020-10-09,6316,4943,346,37880,1001,196,50682,5927,374,2727,33247,6423,445
2020-10-10,5163,2916,328,29426,904,149,38886,3619,321,2359,25280,4945,391
2020-10-11,5142,2993,394,34233,1069,160,43991,3514,302,3000,28766,5586,389
2020-10-12,7005,4567,504,48246,1288,247,61857,8374,403,2997,39609,7794,580
2020-10-13,7687,3843,442,47746,1158,195,61071,12177,413,2646,35142,7056,518
2020-10-14,9266,4098,429,48042,1174,234,63243,12105,445,2558,34770,6829,466
2020-10-15,7817,3986,447,51675,1115,226,65266,14408,416,2926,37565,6994,503
